date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01 00:00:00,2,-2,8.9,,,,5.2,,1019.6,
2020-01-02 00:00:00,3.4,-1,8,,,,5.3,,1019.8,
2020-01-03 00:00:00,4.7,2.8,7,,,,5.6,,1023.3,
2020-01-04 00:00:00,5.1,1,11,,,,6.6,,1022.1,
2020-01-05 00:00:00,4.9,1,10,,,,6.8,,1015.6,
2020-01-06 00:00:00,1.5,0,3.2,,,,5.7,,1019.2,
2020-01-07 00:00:00,1.3,0,3,,,,6.4,,1027.7,
2020-01-08 00:00:00,1.9,-0.6,4,1.8,,,6,,1028.3,
2020-01-09 00:00:00,2.4,-1,7,,,,9.6,,1022.4,
2020-01-10 00:00:00,5.1,-1,9.3,0,,,7.3,,1018.1,
2020-01-11 00:00:00,6.4,2,10,,,,11,,1017.4,
2020-01-12 00:00:00,2.4,-1.3,5,,,,6.7,,1016,
2020-01-13 00:00:00,-1.5,-2.9,-1,7.9,,,7.2,,1022.5,
2020-01-14 00:00:00,-0.2,-2.9,1.1,0,,,7.3,,1027.5,
2020-01-15 00:00:00,0.2,-2,2.4,,,,6.2,,1031.8,
2020-01-16 00:00:00,0.5,-2.3,2,,,,7,,1034.4,
2020-01-17 00:00:00,-0.7,-4.2,4,,,,7.6,,1036,
2020-01-18 00:00:00,-2.7,-7,3,,,,3.5,,1027.1,
2020-01-19 00:00:00,0.2,-4,3.9,,,,5.3,,1021.3,
2020-01-20 00:00:00,3.4,1.1,5,2,,,6.5,,1023.9,
2020-01-21 00:00:00,2.6,1.2,4,0.8,,,3.9,,1023.9,
2020-01-22 00:00:00,0.8,-1.4,2,,,,7.1,,1027.5,
2020-01-23 00:00:00,3.3,-4,11,,,,11.8,,1021.8,
2020-01-24 00:00:00,5.5,3,8,,,,11.8,,1013.5,
2020-01-25 00:00:00,4.7,1.6,8.3,0.3,,,7.2,,1021.4,
2020-01-26 00:00:00,0.7,-1.9,3,,,,7.3,,1024.7,
2020-01-27 00:00:00,1.1,-1,4,,,,5.6,,1023.6,
2020-01-28 00:00:00,3.3,1.2,7,,,,5.6,,1029.1,
2020-01-29 00:00:00,2.5,-2,8,,,,7.9,,1026.7,
2020-01-30 00:00:00,3.1,-1.8,10,,,,6.8,,1022.8,
2020-01-31 00:00:00,5.1,-1,14.5,,,,7.1,,1018.7,
2020-02-01 00:00:00,8.1,1,16,,,,11.4,,1015.8,
2020-02-02 00:00:00,9.9,4,18,,,,10.8,,1012.9,
2020-02-03 00:00:00,6.3,4.2,9,,,,7.1,,1017.6,
2020-02-04 00:00:00,5.3,1,10.6,,,,6.8,,1019.5,
2020-02-05 00:00:00,8.5,2,15.5,,,,8.6,,1015.1,
2020-02-06 00:00:00,7.4,4,11,0.3,,,7,,1023.7,
2020-02-07 00:00:00,9,1,18,,,,5.9,,1019.5,
2020-02-08 00:00:00,13.1,6,22,,,,10.3,,1013.1,
2020-02-09 00:00:00,13.3,9.8,18.4,,,,10,,1009,
2020-02-10 00:00:00,8.3,6.2,11.5,23.9,,,9.6,,1014.6,
2020-02-11 00:00:00,3.5,1,7,,,,7.6,,1017.6,
2020-02-12 00:00:00,5,2.5,11,,,,12.5,,1013.3,
2020-02-13 00:00:00,3.4,1,7,,,,9.1,,1026.7,
2020-02-14 00:00:00,6.5,1,12,,,,8.3,,1025.1,
2020-02-15 00:00:00,5.4,0.5,10,,,,14.1,,1023,
2020-02-16 00:00:00,2.4,-1,7,,,,11.2,,1036.7,
2020-02-17 00:00:00,4.8,1.4,9,,,,7.7,,1031.9,
2020-02-18 00:00:00,0,-3,3,8.9,,,10.5,,1033.1,
2020-02-19 00:00:00,0.6,-2.8,5,,,,7.3,,1036.1,
2020-02-20 00:00:00,3.2,-3,9.4,,,,7.2,,1023.1,
2020-02-21 00:00:00,8.3,0,17.5,,,,8.3,,1013.9,
2020-02-22 00:00:00,7.4,4.9,9,1,,,7.6,,1024.2,
2020-02-23 00:00:00,8.9,3,14,,,,6.5,,1022.4,
2020-02-24 00:00:00,10.4,8,14.7,0.5,,,6.2,,1019.7,
2020-02-25 00:00:00,12.9,6,20,,,,9.7,,1017,
2020-02-26 00:00:00,14.5,7.4,20,,,,14.4,,1011.6,
2020-02-27 00:00:00,2.4,0.8,7,21.1,,,11.3,,1025.3,
2020-02-28 00:00:00,4.2,0,9.3,,,,5.6,,1024.4,
2020-02-29 00:00:00,8,2.8,15,,,,6.2,,1017.6,
2020-03-01 00:00:00,12.6,4,21,,,,6,,1014.3,
2020-03-02 00:00:00,14.9,7,22,,,,7.8,,1015.5,
2020-03-03 00:00:00,12.8,8,18,,,,6,,1015.5,
2020-03-04 00:00:00,9.9,6.9,15.1,,,,9,,1015.3,
2020-03-05 00:00:00,6.2,5,8,2,,,9,,1019.4,
2020-03-06 00:00:00,6.7,3,11,,,,9.8,,1023,
2020-03-07 00:00:00,3.9,1.6,6,,,,11.1,,1025.6,
2020-03-08 00:00:00,4.3,1,8.2,,,,8,,1028.9,
2020-03-09 00:00:00,6.2,0,11,,,,9.1,,1026.9,
2020-03-10 00:00:00,7.9,3.1,13,,,,6.5,,1024.6,
2020-03-11 00:00:00,8.5,3,14,,,,7.7,,1023.2,
2020-03-12 00:00:00,9.2,3,15,,,,7.7,,1021.7,
2020-03-13 00:00:00,12,4,19,,,,7,,1021.9,
2020-03-14 00:00:00,13.2,6,20,,,,8.3,,1020.6,
2020-03-15 00:00:00,16.1,8,25,,,,9.7,,1015.1,
2020-03-16 00:00:00,20.2,12,28.1,,,,9.6,,1014.9,
2020-03-17 00:00:00,19,14,24,,,,7.4,,1018.5,
2020-03-18 00:00:00,17.4,11,23,,,,7.1,,1021.5,
2020-03-19 00:00:00,17.1,10,23,,,,8,,1016,
2020-03-20 00:00:00,18.2,10,25.1,,,,7.4,,1008.7,
2020-03-21 00:00:00,12.3,10,16,20.1,,,10.5,,1015.6,
2020-03-22 00:00:00,13.2,8,19,,,,10,,1019.7,
2020-03-23 00:00:00,14.8,10,20,,,,7.6,,1012.7,
2020-03-24 00:00:00,13.4,10,18.6,,,,9.9,,1010.2,
2020-03-25 00:00:00,10.1,7,13,,,,12.3,,1016.7,
2020-03-26 00:00:00,11.1,6,17,,,,7.6,,1021,
2020-03-27 00:00:00,12,8.5,16,,,,6.6,,1020.8,
2020-03-28 00:00:00,13.3,7,19,,,,6.3,,1020.4,
2020-03-29 00:00:00,13.9,6.9,21,,,,7.7,,1016.5,
2020-03-30 00:00:00,16.4,9,23,,,,6.9,,1009.4,
2020-03-31 00:00:00,16.4,13,21,,,,10.5,,1005.4,
2020-04-01 00:00:00,12.6,11,15.4,3.8,,,8.8,,1014.9,
2020-04-02 00:00:00,14.6,9.9,20,8.9,,,8.9,,1019.7,
2020-04-03 00:00:00,16.4,9,24,,,,9,,1016.5,
2020-04-04 00:00:00,19.1,12,24,,,,11.7,,1016.2,
2020-04-05 00:00:00,14.8,13,18,0.8,,,9.1,,1018.8,
2020-04-06 00:00:00,15.4,10,22,,,,5.9,,1016.9,
2020-04-07 00:00:00,14.7,9.6,20,,,,12.1,,1018.5,
2020-04-08 00:00:00,3.1,0,7,15,,,11.4,,1024,
2020-04-09 00:00:00,2.9,-0.1,7,,,,8.2,,1033.4,
2020-04-10 00:00:00,8.1,0,16,,,,5.6,,1022.2,
2020-04-11 00:00:00,15.3,10,20,,,,12.2,,1016.1,
2020-04-12 00:00:00,15.5,13.2,19,14,,,7.8,,1014.8,
2020-04-13 00:00:00,13.3,12,15,14,,,7.4,,1016.8,
2020-04-14 00:00:00,13.2,10.1,17,,,,9.4,,1020.2,
2020-04-15 00:00:00,11.3,9.4,13,,,,10.8,,1023.4,
2020-04-16 00:00:00,13.8,7.3,20,,,,7.3,,1019.7,
2020-04-17 00:00:00,16.6,8.6,23,,,,7.4,,1015.9,
2020-04-18 00:00:00,18,10.5,25,,,,9.2,,1017.5,
2020-04-19 00:00:00,18.7,10,25,,,,7.6,,1015.6,
2020-04-20 00:00:00,19.3,12,26,,,,7.8,,1014.1,
2020-04-21 00:00:00,20.4,13,27.2,,,,8.8,,1014.2,
2020-04-22 00:00:00,21.9,15,28,,,,9.1,,1012.7,
2020-04-23 00:00:00,23.2,16,30,,,,10,,1010.8,
2020-04-24 00:00:00,23.1,16,29.6,,,,8.2,,1008.4,
2020-04-25 00:00:00,19.3,15,23,,,,9.9,,1014.6,
2020-04-26 00:00:00,23.2,16,30,,,,7.8,,1012.5,
2020-04-27 00:00:00,27.5,19.8,35,,,,8.6,,1005.2,
2020-04-28 00:00:00,20.6,18.3,24.6,0.5,,,10.2,,1011.8,
2020-04-29 00:00:00,19.6,14.7,25,,,,11.9,,1015.5,
2020-04-30 00:00:00,19.8,14,26,,,,7.9,,1018.6,
2020-05-01 00:00:00,20.9,14.2,27,,,,9.8,,1011.2,
2020-05-02 00:00:00,20.7,15.8,26.4,1,,,9.3,,1009.9,
2020-05-03 00:00:00,19.8,16,25,0.3,,,8.2,,1012.8,
2020-05-04 00:00:00,21.7,15.6,29,,,,9.2,,1011.5,
2020-05-05 00:00:00,17.8,16,22,,,,9.2,,1016.2,
2020-05-06 00:00:00,19.9,14.8,25,,,,11.7,,1014.9,
2020-05-07 00:00:00,23.8,15,30,,,,9.2,,1008.7,
2020-05-08 00:00:00,23.7,17,31.2,,,,11.7,,1005.9,
2020-05-09 00:00:00,18.1,15,23,16,,,11.4,,1013.5,
2020-05-10 00:00:00,21.9,15,28,,,,10.2,,1016.8,
2020-05-11 00:00:00,23.7,15.5,30,,,,7.8,,1011.1,
2020-05-12 00:00:00,24.3,17,31,,,,12,,1010,
2020-05-13 00:00:00,20.5,16.8,26,,,,11.1,,1010.1,
2020-05-14 00:00:00,15.9,14.6,19.1,17,,,8.5,,1015.7,
2020-05-15 00:00:00,19,12.2,25,,,,7.9,,1017.2,
2020-05-16 00:00:00,16.6,13.4,21,2,,,7.9,,1016.9,
2020-05-17 00:00:00,19.8,12,26,,,,8.5,,1014.8,
2020-05-18 00:00:00,16.4,12.9,22,,,,12.6,,1014.3,
2020-05-19 00:00:00,17.7,11.8,22.1,,,,7.4,,1018.3,
2020-05-20 00:00:00,19.8,12,26,,,,9,,1018.7,
2020-05-21 00:00:00,22.4,15,28.5,,,,9.4,,1017.6,
2020-05-22 00:00:00,24.2,15,31,,,,8,,1016.2,
2020-05-23 00:00:00,26.7,18,35,,,,8.6,,1011.1,
2020-05-24 00:00:00,28.5,20,36.4,,,,7.6,,1009.8,
2020-05-25 00:00:00,29.2,21,37,,,,8.8,,1010.9,
2020-05-26 00:00:00,30.4,22,38,,,,8.2,,1009.5,
2020-05-27 00:00:00,30.5,23,37,,,,8,,1008.3,
2020-05-28 00:00:00,29.3,22.2,36,,,,8.6,,1005.9,
2020-05-29 00:00:00,28.5,23,34,,,,8.5,,1006.8,
2020-05-30 00:00:00,28.5,20.4,35,,,,10.3,,1007.2,
2020-05-31 00:00:00,28.2,21,36,,,,10.3,,1007.8,
2020-06-01 00:00:00,28.8,22,36,,,,13.2,,1008,
2020-06-02 00:00:00,29.8,23.8,37,,,,12.9,,1008,
2020-06-03 00:00:00,30.3,23,37,,,,9.4,,1006.1,
2020-06-04 00:00:00,31,23,37.4,,,,9.2,,1006,
2020-06-05 00:00:00,30.9,25.8,38,0,,,15.8,,1006,
2020-06-06 00:00:00,28,20.8,34,,,,9.7,,1008.6,
2020-06-07 00:00:00,25.5,19,31,,,,8.2,,1009.4,
2020-06-08 00:00:00,25,19,31,,,,12.4,,1009.3,
2020-06-09 00:00:00,24.1,17.7,31,0.5,,,14,,1013.2,
2020-06-10 00:00:00,25.6,17.8,31,,,,10.8,,1012.9,
2020-06-11 00:00:00,25.2,16,32,,,,8.5,,1010.8,
2020-06-12 00:00:00,26.7,19.8,33,,,,10.3,,1007.8,
2020-06-13 00:00:00,28.1,20,35,,,,9.2,,1005.9,
2020-06-14 00:00:00,29,20.7,35,,,,10.2,,1007.2,
2020-06-15 00:00:00,29.5,21.5,36,,,,9.1,,1007.2,
2020-06-16 00:00:00,28,22,34,,,,14.9,,1006.4,
2020-06-17 00:00:00,24.6,17.9,29.6,,,,10.9,,1008.8,
2020-06-18 00:00:00,24.8,17,31,,,,8.2,,1008.1,
2020-06-19 00:00:00,26.2,17,33,,,,8.6,,1007.9,
2020-06-20 00:00:00,27.4,17.5,35,,,,11.7,,1008,
2020-06-21 00:00:00,28.3,18,36,,,,7.7,,1004.2,
2020-06-22 00:00:00,31.4,21.3,40,,,,10.1,,998.8,
2020-06-23 00:00:00,32.9,27.8,37.8,,,,14.8,,1003.4,
2020-06-24 00:00:00,31.4,25,37,,,,10.5,,1008.3,
2020-06-25 00:00:00,30.6,22,37,,,,9.7,,1005.3,
2020-06-26 00:00:00,30.1,22,36,,,,11.1,,1002.7,
2020-06-27 00:00:00,22.4,17.8,28,,,,12.9,,1010.8,
2020-06-28 00:00:00,21.7,15,27,,,,10.1,,1014.8,
2020-06-29 00:00:00,24.8,14.8,32,,,,9.1,,1008,
2020-06-30 00:00:00,27.1,20,33,,,,10.3,,1003.9,
2020-07-01 00:00:00,29.9,22,36,,,,7.7,,1005.4,
2020-07-02 00:00:00,26.9,22.8,31,,,,12.4,,1009.5,
2020-07-03 00:00:00,24.7,17.7,30.6,,,,13.8,,1013.9,
2020-07-04 00:00:00,25.9,16.8,32,,,,11.7,,1010.3,
2020-07-05 00:00:00,26.4,17.2,33,,,,8.8,,1006,
2020-07-06 00:00:00,27.1,19.2,32.1,,,,9.2,,1005.3,
2020-07-07 00:00:00,28.4,18.1,35.5,,,,8.5,,1005,
2020-07-08 00:00:00,29.1,21.4,35,,,,8,,1004.1,
2020-07-09 00:00:00,31.4,22,38,,,,10,,1002.4,
2020-07-10 00:00:00,29.1,22,36,4.3,,,16.5,,1003.9,
2020-07-11 00:00:00,28.4,21,35.5,2,,,9.1,,1005.1,
2020-07-12 00:00:00,29.3,20.8,37,,,,9.3,,1003.4,
2020-07-13 00:00:00,29.3,23.5,34.5,,,,11.4,,1001.3,
2020-07-14 00:00:00,31.1,24,38,,,,9.9,,1002.6,
2020-07-15 00:00:00,32.4,24.5,38.2,,,,10.2,,1002.9,
2020-07-16 00:00:00,32.3,25,39,,,,9.2,,1001,
2020-07-17 00:00:00,32.5,25,39,,,,10.2,,1001.5,
2020-07-18 00:00:00,32.2,25.2,38.1,,,,12.1,,1004,
2020-07-19 00:00:00,32.9,26.8,39,,,,11.8,,1005.1,
2020-07-20 00:00:00,31.3,25,37.3,,,,13.2,,1002.1,
2020-07-21 00:00:00,31.3,23.7,38.4,,,,9.1,,1003,
2020-07-22 00:00:00,32.1,24,39,,,,9.8,,1003.5,
2020-07-23 00:00:00,32.6,24.8,39,,,,9.1,,1002.7,
2020-07-24 00:00:00,29.9,26,34.4,,,,11.1,,1006.8,
2020-07-25 00:00:00,31.5,22.5,37.6,,,,9,,1008.8,
2020-07-26 00:00:00,31.6,23.9,38,,,,11.3,,1007.6,
2020-07-27 00:00:00,30.6,25.5,36.6,,,,10.4,,1008.2,
2020-07-28 00:00:00,30.5,22.4,37,,,,9,,1006.4,
2020-07-29 00:00:00,29.5,22.8,34.4,,,,10.8,,1008.2,
2020-07-30 00:00:00,28.6,19.5,35,,,,8.3,,1007.1,
2020-07-31 00:00:00,26.4,22.7,33.7,0,,,12.2,,1007.2,
2020-08-01 00:00:00,26.5,21.4,32,,,,9,,1007.2,
2020-08-02 00:00:00,28.4,20.3,35,,,,8,,1006.1,
2020-08-03 00:00:00,29,21.4,36,,,,8.2,,1002.9,
2020-08-04 00:00:00,29.3,21.9,36,,,,8.4,,1001.6,
2020-08-05 00:00:00,30.9,22.6,38,,,,9.5,,1003.5,
2020-08-06 00:00:00,29.7,23.4,36.9,,,,9,,1005.9,
2020-08-07 00:00:00,30.3,23.8,37,,,,9.7,,1005.7,
2020-08-08 00:00:00,29.3,24,35,,,,9.7,,1004.6,
2020-08-09 00:00:00,28.4,22.9,34,,,,8.2,,1005,
2020-08-10 00:00:00,29.5,22.3,35.5,,,,8.5,,1004.4,
2020-08-11 00:00:00,28.5,22.6,34,,,,8.8,,1005.9,
2020-08-12 00:00:00,27.4,20,34,,,,8.8,,1007,
2020-08-13 00:00:00,27,20.4,33,,,,7.4,,1007.2,
2020-08-14 00:00:00,28.8,20,35,,,,8.5,,1005.8,
2020-08-15 00:00:00,28.7,19.1,36,,,,7.9,,1004.4,
2020-08-16 00:00:00,26.8,21,31.7,,,,7.1,,1005.2,
2020-08-17 00:00:00,27.6,23,32,,,,7.7,,1004.6,
2020-08-18 00:00:00,25.6,21,30,,,,9.8,,1009.3,
2020-08-19 00:00:00,25.5,17.6,32,,,,10,,1008.8,
2020-08-20 00:00:00,26.4,18.8,33,,,,10.2,,1007.3,
2020-08-21 00:00:00,26.5,17.8,33,,,,8.8,,1009.2,
2020-08-22 00:00:00,27.6,18.7,35.4,,,,8.2,,1005.7,
2020-08-23 00:00:00,29.9,20.3,39,,,,8.6,,1001.6,
2020-08-24 00:00:00,29.3,25.9,34,,,,9.1,,1001.6,
2020-08-25 00:00:00,25.4,21,28,,,,7.4,,1010.4,
2020-08-26 00:00:00,18.5,17.8,25,17,,,10.4,,1012.7,
2020-08-27 00:00:00,20.7,15.3,25,,,,7.9,,1015.2,
2020-08-28 00:00:00,23.2,15.7,30.4,,,,7.8,,1011.2,
2020-08-29 00:00:00,25.3,17.6,33,,,,7.1,,1008.1,
2020-08-30 00:00:00,27,19.6,34,,,,7.9,,1008.2,
2020-08-31 00:00:00,25.6,20.7,30,0,,,13.4,,1009.9,
2020-09-01 00:00:00,26.6,21.1,33,,,,9,,1011.6,
2020-09-02 00:00:00,26.5,20.4,33,,,,8.7,,1012.1,
2020-09-03 00:00:00,26,19,32.1,,,,9.9,,1015,
2020-09-04 00:00:00,27,19.6,34,,,,10.2,,1015.6,
2020-09-05 00:00:00,26.3,19,33,,,,9.3,,1011.2,
2020-09-06 00:00:00,22.9,17.7,27,,,,9.5,,1012.5,
2020-09-07 00:00:00,19.4,12,27.5,,,,7,,1016.6,
2020-09-08 00:00:00,20.4,13,28,,,,8.7,,1014.7,
2020-09-09 00:00:00,21.9,13,30,,,,8.3,,1013.3,
2020-09-10 00:00:00,23,15.8,30.5,,,,7.9,,1012.2,
2020-09-11 00:00:00,23.7,16.5,31,,,,7.9,,1012.3,
2020-09-12 00:00:00,21.9,16,27,,,,7.4,,1017.7,
2020-09-13 00:00:00,21.3,12.3,29.3,,,,8.2,,1016.4,
2020-09-14 00:00:00,22.3,14.5,30,,,,8.5,,1014.3,
2020-09-15 00:00:00,22.6,14,30,,,,8.2,,1014.1,
2020-09-16 00:00:00,22.7,16,29.7,,,,8.5,,1011.5,
2020-09-17 00:00:00,18.5,13.2,24.8,,,,12,,1016.6,
2020-09-18 00:00:00,13.4,9.7,18,,,,8.4,,1022.9,
2020-09-19 00:00:00,15.4,8,23,,,,7.4,,1020.9,
2020-09-20 00:00:00,19.4,10.9,28.3,,,,8,,1014,
2020-09-21 00:00:00,20.6,13,27,,,,9.7,,1016.3,
2020-09-22 00:00:00,18.7,12,24,,,,8.8,,1019.3,
2020-09-23 00:00:00,16.6,10.7,23,,,,7.4,,1019.4,
2020-09-24 00:00:00,17.7,9,26,,,,8.7,,1018.8,
2020-09-25 00:00:00,18,10,26.1,,,,8,,1014.8,
2020-09-26 00:00:00,16.7,11,23.2,,,,8.8,,1012.5,
2020-09-27 00:00:00,16.9,11,24,,,,6.5,,1014.4,
2020-09-28 00:00:00,17.1,10.8,24,,,,8.2,,1016.8,
2020-09-29 00:00:00,17.2,14.4,20,,,,8.8,,1018.5,
2020-09-30 00:00:00,14.5,11.8,19,,,,8.6,,1019.7,
2020-10-01 00:00:00,16.6,9.9,23,,,,10.6,,1019,
2020-10-02 00:00:00,16.8,9.6,23,,,,8.2,,1019.6,
2020-10-03 00:00:00,17.4,10.9,23.4,,,,8.2,,1020.6,
2020-10-04 00:00:00,17.3,11.2,24,,,,9.2,,1021.3,
2020-10-05 00:00:00,16.6,10,23.1,,,,7.7,,1021.2,
2020-10-06 00:00:00,11.5,6.9,15,,,,10,,1025.4,
2020-10-07 00:00:00,12.3,4,20,,,,7.6,,1026.1,
2020-10-08 00:00:00,13.1,6.8,20,,,,9.1,,1025.2,
2020-10-09 00:00:00,10.3,6,14.6,,,,6.4,,1028,
2020-10-10 00:00:00,11.8,7,18.5,,,,6.4,,1029.1,
2020-10-11 00:00:00,12.1,6,19,,,,6.5,,1028.5,
2020-10-12 00:00:00,12.8,5,20,,,,6.8,,1026.5,
2020-10-13 00:00:00,13.5,6,21.4,,,,6.7,,1024.5,
2020-10-14 00:00:00,14.5,8,22,,,,6.5,,1022.7,
2020-10-15 00:00:00,14.9,7,23,,,,6.5,,1022,
2020-10-16 00:00:00,15.2,8,23,,,,7,,1020.3,
2020-10-17 00:00:00,15.3,8,23,,,,6.8,,1020.6,
2020-10-18 00:00:00,16.4,9,24,,,,7.6,,1024.4,
2020-10-19 00:00:00,16.4,9,24,,,,7.6,,1020,
2020-10-20 00:00:00,15.9,7,25,,,,7.1,,1014.7,
2020-10-21 00:00:00,16,8,24.7,,,,7.9,,1019.5,
2020-10-22 00:00:00,13.3,10.8,16,,,,8.5,,1021.9,
2020-10-23 00:00:00,11.3,7.1,14,,,,8.4,,1024.6,
2020-10-24 00:00:00,10.9,5.4,16,,,,8.6,,1026.7,
2020-10-25 00:00:00,11.1,4.8,18,,,,5.7,,1027.2,
2020-10-26 00:00:00,13.2,6,21.6,,,,6.5,,1021.4,
2020-10-27 00:00:00,14.3,7,23,,,,8.4,,1018.1,
2020-10-28 00:00:00,6.8,2.5,10,,,,10.9,,1027.9,
2020-10-29 00:00:00,6.7,0,14,,,,6,,1034.5,
2020-10-30 00:00:00,9,2,17,,,,6,,1028,
2020-10-31 00:00:00,11.2,4,21,,,,5.4,,1023.6,
2020-11-01 00:00:00,12.7,5,22,,,,7,,1021.9,
2020-11-02 00:00:00,14,6,23,,,,6.5,,1022.3,
2020-11-03 00:00:00,12.5,5.7,20.5,,,,6,,1025.2,
